RaceName_name,City,State,RaceName_Date,,,,,,,,
Rockin' Summer Half Marathon,Long Beach, CA,2017-09-16,,,,,,,,
Run the River for The Ridge,Riverside, CA,2017-09-16,,,,,,,,
Urban Coyote Racing Pacifica Summit Run,Pacifica, CA,2017-09-16,,,,,,,,
Valley of the Flowers Half Marathon,Lompoc, CA,2017-09-16,,,,,,,,
Alameda Running Festival - Half Marathon,Alameda, CA,2017-09-17,,,,,,,,
Crush the Coast,Long Beach, CA,2017-09-17,,,,,,,,
Petaluma Clo-Cow Half Marathon,Petaluma, CA,2017-09-17,,,,,,,,
Rockin' Summer Half Marathon,Los Angeles, CA,2017-09-17,,,,,,,,
Berkeley Trail Adventure,Berkeley, CA,2017-09-23,,,,,,,,
Big Sur Trail Marathon,Carmel-By-The-Sea, CA,2017-09-23,,,,,,,,
Fall Showdown,El Sobrante, CA,2017-09-23,,,,,,,,
Rock into Fall,Long Beach, CA,2017-09-23,,,,,,,,
Saddleback Mountain Goat Marathon,Lake Elsinore, CA,2017-09-23,,,,,,,,
South Hills Single Track Trail Run,Morgan Hill, CA,2017-09-23,,,,,,,,
Wascally Wabbit Half Marathon,Fresno, CA,2017-09-23,,,,,,,,
Dolphin Dash Half Marathon,Santa Monica, CA,2017-09-24,,,,,,,,
Harvest Half Marathon,Camarillo, CA,2017-09-24,,,,,,,,
Marina Vista Marathon,Long Beach, CA,2017-09-24,,,,,,,,
Napa Half Marathon,Napa, CA,2017-09-24,,,,,,,,
Truckee Marathon,Truckee, CA,2017-09-24,,,,,,,,
Beach Dash Half Marathon,Huntington Beach, CA,2017-09-30,,,,,,,,
Rock the Shore,Long Beach, CA,2017-09-30,,,,,,,,
Rocky Ridge Trail Half Marathon Championship,San Ramon, CA,2017-09-30,,,,,,,,
Crush the Marina,Long Beach, CA,2017-10-01,,,,,,,,
H.O.T. Half Half Marathon,Chico, CA,2017-10-01,,,,,,,,
Heart of Cool Trail Run,Cool, CA,2017-10-01,,,,,,,,
Lions Turtle Bay Runs,Redding, CA,2017-10-01,,,,,,,,
Peace Officer Memorial Run,Modesto, CA,2017-10-01,,,,,,,,
Run for Education,San Ramon, CA,2017-10-01,,,,,,,,
Tiburon Half Marathon,Tiburon, CA,2017-10-01,,,,,,,,
Urban Cow Half Marathon,Sacramento, CA,2017-10-01,,,,,,,,
Bizz Johnson Trail Express Half Marathon,Susanville, CA,2017-10-07,,,,,,,,
Blitz the Coastline,Long Beach, CA,2017-10-07,,,,,,,,
Raptor Ridge Halloween Half Marathon,San Diego, CA,2017-10-07,,,,,,,,
Bizz Johnson Trail Runs,Susanville, CA,2017-10-08,,,,,,,,
City to the Sea Half Marathon,San Luis Obispo, CA,2017-10-08,,,,,,,,
Healdsburg Half Marathon,Healdsburg, CA,2017-10-08,,,,,,,,
Kokanee Trail Runs,South Lake Tahoe, CA,2017-10-08,,,,,,,,
Long Beach Marathon,Long Beach, CA,2017-10-08,,,,,,,,
Ocean Breeze Half Marathon,Santa Monica, CA,2017-10-08,,,,,,,,
Rock 'n' Roll San Jose Half Marathon,San Jose, CA,2017-10-08,,,,,,,,
Lakeside Marathon (replaces Emerald Bay Marathon),South Lake Tahoe, CA,2017-10-13,,,,,,,,
Beach Blast Half Marathon,Huntington Beach, CA,2017-10-14,,,,,,,,
Blast the Beach,Long Beach, CA,2017-10-14,,,,,,,,
Cal-Neva Marathon,Lake Tahoe, CA,2017-10-14,,,,,,,,
Edwards AFB Run with History,Edwards AFB, CA,2017-10-14,,,,,,,,
Griffith Park Trail Half Marathon,Los Angeles, CA,2017-10-14,,,,,,,,
Los Vaqueros Tarantula Run,Brentwood, CA,2017-10-14,,,,,,,,
Angwin to Angwish - Napa Valley Trail Run,Angwin, CA,2017-10-15,,,,,,,,
Humboldt Redwoods Marathon,Weott, CA,2017-10-15,,,,,,,,
Judgment Day Half Marathon,Bakersfield, CA,2017-10-15,,,,,,,,
Lake Tahoe Marathon,South Lake Tahoe, CA,2017-10-15,,,,,,,,
Race the Marina,Long Beach, CA,2017-10-15,,,,,,,,
Spacerock Trail Race,Agua Dulce, CA,2017-10-15,,,,,,,,
Virgin Sport San Francisco,San Francisco, CA,2017-10-15,,,,,,,,
Brazen Goonies Half Marathon,Vacaville, CA,2017-10-21,,,,,,,,
Eldrith Gosney's Pure Ultra,Stinson Beach, CA,2017-10-21,,,,,,,,
Marshall Gold Discovery Run,Coloma, CA,2017-10-21,,,,,,,,
Napa Wine Country Marathon,Calistoga, CA,2017-10-21,,,,,,,,
Run the Shoreline,Long Beach, CA,2017-10-21,,,,,,,,
Blast the Marina,Long Beach, CA,2017-10-22,,,,,,,,
Cloverdale Harvest Marathon,Cloverdale, CA,2017-10-22,,,,,,,,
Folsom Blues Breakout 13.1,Folsom, CA,2017-10-22,,,,,,,,
Honey Badger Half Marathon,San Rafael, CA,2017-10-22,,,,,,,,
Lexus LaceUp Running Series - Ventura,Ventura, CA,2017-10-22,,,,,,,,
Monster Dash Half Marathon,Santa Monica, CA,2017-10-22,,,,,,,,
Morgan Hill Half Marathon,Morgan Hill, CA,2017-10-22,,,,,,,,
Pasadena Trail Half Marathon,Pasadena, CA,2017-10-22,,,,,,,,
Ventura Marathon,Ventura, CA,2017-10-22,,,,,,,,
Healdsburg Wine Country Half Marathon,Healdsburg, CA,2017-10-28,,,,,,,,
Oakland Hills Trail Run,Oakland, CA,2017-10-28,,,,,,,,
OktobeRun Half Marathon,Redwood City, CA,2017-10-28,,,,,,,,
Rockin' the Bay,Long Beach, CA,2017-10-28,,,,,,,,
Spooky Dash Half Marathon,Long Beach, CA,2017-10-28,,,,,,,,
Stinson Beach Marathon,Stinson Beach, CA,2017-10-28,,,,,,,,
ZombieRunner Halloween Run,Campbell, CA,2017-10-28,,,,,,,,
Halloween Marathon,Long Beach, CA,2017-10-29,,,,,,,,
Rock 'n' Roll Los Angeles Half Marathon,Los Angeles, CA,2017-10-29,,,,,,,,
Spooktacular Half Marathon,Los Angeles, CA,2017-10-29,,,,,,,,
Thrive Half Marathon,San Diego, CA,2017-10-29,,,,,,,,
Almaden Hills Run,San Jose, CA,2017-11-04,,,,,,,,
Diablo Summit Stomp,Walnut Creek, CA,2017-11-04,,,,,,,,
Lake Chabot Trail Run,Castro Valley, CA,2017-11-04,,,,,,,,
REVEL Canyon City,Azusa, CA,2017-11-04,,,,,,,,
Rock The Ocean,Long Beach, CA,2017-11-04,,,,,,,,
Santa Cruz Island Eco-Extreme Trail Half Marathon,Ventura, CA,2017-11-04,,,,,,,,
Almond Bowl,Chico, CA,2017-11-05,,,,,,,,
Beach Fiesta Half Marathon,Santa Monica, CA,2017-11-05,,,,,,,,
